Unnamed: 0,id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
10926,30806210209,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
10927,30806210216,man,good no adverse circumstances were found,,another situation
10928,30806210219,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10929,30806210229,man,"physical disability (illness, nausea, reduced mobility, etc.)","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
10930,30806210238,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10931,30806210241,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
10932,31006210145,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
10933,31006210283,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
10934,31006210314,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
10935,31006210320,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
10936,31006210329,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
10937,31006210336,man,not detected,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
10938,31106210023,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
10939,31106210049,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10940,31106210061,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
10941,31106210108,child (up to 15 years),good no adverse circumstances were found,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
10942,31106210149,Woman,good no adverse circumstances were found,,crossing just in front of or behind a parked vehicle
10943,31106210163,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10944,31106210347,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10945,31106210361,man,good no adverse circumstances were found,,another situation
10946,31106210571,man,good no adverse circumstances were found,,walking on the right side
10947,31106210574,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
10948,31106210582,group of children,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10949,31106210616,man,not detected,"correct, appropriate",another situation
10950,31106210642,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
10951,31106210657,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10952,31106210679,Woman,not detected,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
10953,31106210700,man,good no adverse circumstances were found,,another situation
10954,40206210077,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10955,40206210125,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10956,40206210142,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10957,40206210145,man,not detected,,walking on the right side
10958,40206210160,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,Side impact,walking on the wrong side
10959,40206210262,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
10960,40206210376,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
10961,40206210392,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,another situation
10962,40206210781,child (up to 15 years),good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
10963,40206210782,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10964,40206210810,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
10965,40206210833,man,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
10966,40206210940,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
10967,40206210959,child (up to 15 years),good no adverse circumstances were found,Side impact,another situation
10968,40206210963,Woman,"inattention, distraction",sudden change in walking direction,another situation
10969,40206210998,child (up to 15 years),good no adverse circumstances were found,Side impact,another situation
10970,40206211023,child (up to 15 years),good no adverse circumstances were found,children playing on the road,another situation
10971,40206211068,Woman,"inattention, distraction",poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
10972,40206211130,man,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
10973,40206211133,child (up to 15 years),"inattention, distraction",sudden change in walking direction,Crossing outside the crossing (20 metres or more from the crossing)
10974,40206211180,another group,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",walking on the right side
10975,40206211187,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
10976,40206211273,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
10977,40206211294,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10978,40206211304,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
10979,40206211311,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
10980,40206211316,Woman,"physical disability (illness, nausea, reduced mobility, etc.)","correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
10981,40206211351,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
10982,40206211357,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
10983,40206211450,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
10984,40206211555,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10985,40206211596,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10986,40306210002,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10987,40306210015,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
10988,40306210071,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
10989,40306210128,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
10990,40306210136,another group,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10991,40306210164,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10992,40306210182,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
10993,40306210316,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
10994,40306210409,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10995,40306210424,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
10996,40306210470,man,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
10997,40306210500,another group,not detected,,another situation
10998,40306210510,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
10999,40306210551,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
11000,40306210591,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
11001,40306210642,child (up to 15 years),good no adverse circumstances were found,"confused, hasty, indecisive behaviour",crossing at a marked crossing
11002,40306210728,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11003,40306210736,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
11004,40306210817,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
11005,40306210850,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
11006,40306210927,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11007,40306210937,man,not detected,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11008,40306210952,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
11009,40306210978,man,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
11010,40306210998,child (up to 15 years),good no adverse circumstances were found,"confused, hasty, indecisive behaviour",crossing at a marked crossing
11011,40306211080,child (up to 15 years),good no adverse circumstances were found,Side impact,crossing just in front of or behind a parked vehicle
11012,40306211108,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,sudden change in walking direction,Crossing outside the crossing (20 metres or more from the crossing)
11013,40306211140,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
11014,40306211167,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",crossing at a marked crossing
11015,40306211168,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",crossing at a marked crossing
11016,40306211174,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
11017,40306211187,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
11018,40306211219,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
11019,40306211252,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
11020,40306211275,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
11021,40306211281,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11022,40306211302,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11023,40306211306,man,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
11024,40306211348,child (up to 15 years),good no adverse circumstances were found,"confused, hasty, indecisive behaviour",pedestrian entry on the signal FREE
11025,40306211374,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11026,40306211438,man,good no adverse circumstances were found,"correct, appropriate",another situation
11027,40306211468,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11028,40306211498,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11029,40306211527,man,good no adverse circumstances were found,"correct, appropriate",another situation
11030,40306211540,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11031,40306211630,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11032,40606210023,another group,not detected,,another situation
11033,40606210193,man,good no adverse circumstances were found,,another situation
11034,40606210332,man,good no adverse circumstances were found,,walking on the wrong side
11035,40606210428,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
11036,40606210527,child (up to 15 years),good no adverse circumstances were found,,another situation
11037,40606210550,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
11038,40606210613,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
11039,40606210640,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11040,40606210699,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11041,40606210706,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11042,40606210718,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
11043,40606210759,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11044,40606210809,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11045,40606210913,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
11046,40606210934,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11047,40606210953,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11048,40606210958,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a vehicle at a bus stop
11049,40606210982,another group,not detected,,another situation
11050,40606211034,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11051,40606211038,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11052,40606211089,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11053,40606211169,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11054,40606211171,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11055,40606211222,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11056,40606211231,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11057,40706210008,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",another situation
11058,40706210039,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11059,40706210048,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
11060,40706210082,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
11061,40706210089,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11062,40706210184,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11063,40706210235,child (up to 15 years),"inattention, distraction",Side impact,Crossing outside the crossing (20 metres or more from the crossing)
11064,40706210414,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11065,40706210489,man,good no adverse circumstances were found,"correct, appropriate",another situation
11066,40706210582,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11067,40706210604,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
11068,40706210620,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11069,40706210621,another group,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
11070,40706210698,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11071,40706210704,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
11072,40706210881,Woman,good no adverse circumstances were found,,another situation
11073,40706210967,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
11074,40706210998,child (up to 15 years),"inattention, distraction",Side impact,crossing at a marked crossing
11075,40706211044,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
11076,40706211053,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11077,40706211098,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11078,40706211163,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
11079,40706211168,Woman,good no adverse circumstances were found,,another situation
11080,40706211354,Woman,good no adverse circumstances were found,,crossing at a marked crossing
11081,40706211438,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
11082,40706211452,Woman,not detected,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
11083,40806210011,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
11084,40806210022,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
11085,40806210039,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11086,40806210068,Woman,good no adverse circumstances were found,,pedestrian entry on the signal FREE
11087,40806210096,Woman,good no adverse circumstances were found,,crossing at a marked crossing
11088,40806210102,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,walking on the wrong side
11089,40806210206,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
11090,40806210245,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11091,40806210262,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
11092,40806210294,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
11093,40806210359,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,walking on the right side
11094,40806210372,another group,not detected,,another situation
11095,40806210391,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
11096,40806210401,another group,not detected,,another situation
11097,40806210423,child (up to 15 years),good no adverse circumstances were found,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
11098,40806210479,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11099,40806210482,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11100,40806210513,another group,not detected,,another situation
11101,40806210519,child (up to 15 years),"inattention, distraction",children playing on the road,another situation
11102,40806210543,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
11103,40806210576,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11104,40806210620,Woman,"inattention, distraction","confused, hasty, indecisive behaviour",another situation
11105,40806210643,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
11106,40806210681,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
11107,40806210684,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11108,40806210699,man,"inattention, distraction","confused, hasty, indecisive behaviour",pedestrian entry on the signal FREE
11109,40806210729,Woman,"inattention, distraction",Side impact,walking on the right side
11110,40806210748,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",crossing at a marked crossing
11111,40806210818,Woman,"physical disability (illness, nausea, reduced mobility, etc.)",,walking on the wrong side
11112,40806210957,Woman,good no adverse circumstances were found,,another situation
11113,40806210960,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",crossing at a marked crossing
11114,40806210988,another group,not detected,,another situation
11115,40806210999,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11116,40806211037,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11117,40806211055,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11118,40806211122,man,good no adverse circumstances were found,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
11119,40906210039,another group,not detected,,another situation
11120,40906210044,man,other condition not specified,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
11121,40906210049,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
11122,40906210050,Woman,not detected,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
11123,40906210086,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11124,40906210143,another group,not detected,,another situation
11125,40906210174,child (up to 15 years),good no adverse circumstances were found,children playing on the road,another situation
11126,40906210179,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11127,40906210232,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
11128,40906210311,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
11129,40906210338,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
11130,40906210345,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",crossing at a marked crossing
11131,40906210375,man,good no adverse circumstances were found,"correct, appropriate",another situation
11132,40906210384,child (up to 15 years),"inattention, distraction",children playing on the road,Crossing outside the crossing (20 metres or more from the crossing)
11133,40906210412,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
11134,40906210444,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11135,40906210447,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
11136,40906210509,man,good no adverse circumstances were found,"correct, appropriate",another situation
11137,40906210565,man,not detected,,another situation
11138,40906210569,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,crossing just in front of or behind a parked vehicle
11139,40906210578,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
11140,40906210586,group of children,not detected,,another situation
11141,40906210590,child (up to 15 years),good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
11142,40906210636,Woman,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
11143,40906210637,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11144,40906210679,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
11145,40906210688,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11146,40906210749,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11147,40906210753,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
11148,40906210759,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,pedestrian entering the roadway near the crosswalk (approx. within 20 m)
11149,40906210761,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
11150,40906210772,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
11151,40906210786,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11152,40906210831,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
11153,40906210850,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11154,40906210880,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11155,40906210972,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11156,40906211007,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
11157,40906211035,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
11158,40906211045,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11159,40906211076,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
11160,40906211091,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11161,40906211136,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11162,40906211177,man,"inattention, distraction",,another situation
11163,40906211183,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11164,40906211197,child (up to 15 years),good no adverse circumstances were found,Side impact,crossing at a marked crossing
11165,40906211207,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11166,40906211210,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
11167,40906211244,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
11168,40906211258,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11169,40906211284,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
11170,40906211297,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11171,40906211316,man,not detected,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
11172,40906211378,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
11173,40906211397,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
11174,40906211447,group of children,not detected,,another situation
11175,40906211478,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
11176,41006210013,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11177,41006210098,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11178,41006210296,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11179,41006210437,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11180,41006210510,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11181,41006210551,Woman,good no adverse circumstances were found,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
11182,41006210610,Woman,other condition not specified,,another situation
11183,41006210623,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11184,41006210630,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11185,41006210660,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11186,41006210667,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a vehicle at a bus stop
11187,41006210676,another group,not detected,,another situation
11188,41006210678,man,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",another situation
11189,41006210734,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11190,41006210904,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
11191,41006210979,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
11192,41006211085,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
11193,41006211113,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
11194,41006211228,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a vehicle at a bus stop
11195,41006211241,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
11196,41006211243,man,"inattention, distraction",Side impact,Crossing outside the crossing (20 metres or more from the crossing)
11197,41006211252,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11198,41006211299,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11199,41006211377,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
11200,41006211471,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,another situation
11201,41006211488,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11202,41006211495,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
11203,41006211526,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11204,41006211536,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11205,41006211544,child (up to 15 years),other condition not specified,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
11206,41006211554,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11207,41006211600,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",crossing at a marked crossing
11208,41006211613,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11209,41006211643,child (up to 15 years),good no adverse circumstances were found,sudden change in walking direction,Crossing outside the crossing (20 metres or more from the crossing)
11210,41006211663,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11211,41006211714,Woman,"inattention, distraction",poor estimation of the distance and speed of the vehicle,crossing just in front of or behind a parked vehicle
